Datetime,Leg,Team,OBR,Video,Length,People,Description,Tags
2017-10-24 10:40:07,1,team AkzoNobel,Konrad Frost,"=HYPERLINK(""https://volvooceanrace-2017-18.s3.amazonaws.com/videos/cropped/m104821_13-01-171024-azn-00003_HD.mp4"", IMAGE(""https://volvooceanrace-2017-18.s3.amazonaws.com/videos/cropped/thumb/m104821_13-01-171024-azn-00003_00002_480x270.jpg""))",,,,
2017-10-24 10:06:58,1,Dongfeng Race Team,Richard Edwards,"=HYPERLINK(""https://volvooceanrace-2017-18.s3.amazonaws.com/videos/cropped/m104812_13-01-171024-dfg-00003_HD.mp4"", IMAGE(""https://volvooceanrace-2017-18.s3.amazonaws.com/videos/cropped/thumb/m104812_13-01-171024-dfg-00003_00002_480x270.jpg""))",,,,
2017-10-24 09:12:20,1,Dongfeng Race Team,Richard Edwards,"=HYPERLINK(""https://volvooceanrace-2017-18.s3.amazonaws.com/videos/cropped/m104811_13-01-171024-dfg-00002_HD.mp4"", IMAGE(""https://volvooceanrace-2017-18.s3.amazonaws.com/videos/cropped/thumb/m104811_13-01-171024-dfg-00002_00002_480x270.jpg""))",,,,
2017-10-24 08:30:14,1,Vestas 11th Hour Racing,James Blake,"=HYPERLINK(""https://volvooceanrace-2017-18.s3.amazonaws.com/videos/cropped/m104806_13-01-171024-veh-00001_HD.mp4"", IMAGE(""https://volvooceanrace-2017-18.s3.amazonaws.com/videos/cropped/thumb/m104806_13-01-171024-veh-00001_00002_480x270.jpg""))",,,,
2017-10-24 05:15:13,1,Dongfeng Race Team,Richard Edwards,"=HYPERLINK(""https://volvooceanrace-2017-18.s3.amazonaws.com/videos/cropped/m104801_13-01-171024-dfg-00001_HD.mp4"", IMAGE(""https://volvooceanrace-2017-18.s3.amazonaws.com/videos/cropped/thumb/m104801_13-01-171024-dfg-00001_00002_480x270.jpg""))",,,,
2017-10-23 23:49:10,1,Turn the Tide on Plastic,Jen Edney,"=HYPERLINK(""https://volvooceanrace-2017-18.s3.amazonaws.com/videos/cropped/m104798_13-01-171024-ttt-00001_HD.mp4"", IMAGE(""https://volvooceanrace-2017-18.s3.amazonaws.com/videos/cropped/thumb/m104798_13-01-171024-ttt-00001_00002_480x270.jpg""))",,,,
2017-10-23 21:15:56,1,Vestas 11th Hour Racing,James Blake,"=HYPERLINK(""https://volvooceanrace-2017-18.s3.amazonaws.com/videos/cropped/m104793_13-01-171023-veh-00003_HD.mp4"", IMAGE(""https://volvooceanrace-2017-18.s3.amazonaws.com/videos/cropped/thumb/m104793_13-01-171023-veh-00003_00002_480x270.jpg""))",,,,
2017-10-23 20:57:56,1,team AkzoNobel,Konrad Frost,"=HYPERLINK(""https://volvooceanrace-2017-18.s3.amazonaws.com/videos/cropped/m104792_13-01-171023-azn-00006_HD.mp4"", IMAGE(""https://volvooceanrace-2017-18.s3.amazonaws.com/videos/cropped/thumb/m104792_13-01-171023-azn-00006_00002_480x270.jpg""))",,,,
2017-10-23 19:37:07,1,MAPFRE,Ugo Fonollá,"=HYPERLINK(""https://volvooceanrace-2017-18.s3.amazonaws.com/videos/cropped/m104786_13-01-171023-mpf-ugf-00002_HD.mp4"", IMAGE(""https://volvooceanrace-2017-18.s3.amazonaws.com/videos/cropped/thumb/m104786_13-01-171023-mpf-ugf-00002_00002_480x270.jpg""))",,,,
2017-10-23 19:32:07,1,Dongfeng Race Team,Richard Edwards,"=HYPERLINK(""https://volvooceanrace-2017-18.s3.amazonaws.com/videos/cropped/m104774_13-01-171023-dfg-00015_HD.mp4"", IMAGE(""https://volvooceanrace-2017-18.s3.amazonaws.com/videos/cropped/thumb/m104774_13-01-171023-dfg-00015_00002_480x270.jpg""))",,,,
2017-10-23 19:31:04,1,team AkzoNobel,Konrad Frost,"=HYPERLINK(""https://volvooceanrace-2017-18.s3.amazonaws.com/videos/cropped/m104773_13-01-171023-azn-00005_HD.mp4"", IMAGE(""https://volvooceanrace-2017-18.s3.amazonaws.com/videos/cropped/thumb/m104773_13-01-171023-azn-00005_00002_480x270.jpg""))",,,,
2017-10-23 16:20:00,1,Turn the Tide on Plastic,Jen Edney,"=HYPERLINK(""https://volvooceanrace-2017-18.s3.amazonaws.com/videos/cropped/m104748_13-01-171018-ttt-00001_HD.mp4"", IMAGE(""https://volvooceanrace-2017-18.s3.amazonaws.com/videos/cropped/thumb/m104748_13-01-171018-ttt-00001_00002_480x270.jpg""))",,,,
2017-10-23 15:35:45,1,team AkzoNobel,Konrad Frost,"=HYPERLINK(""https://volvooceanrace-2017-18.s3.amazonaws.com/videos/cropped/m104747_13-01-171023-azn-00004_HD.mp4"", IMAGE(""https://volvooceanrace-2017-18.s3.amazonaws.com/videos/cropped/thumb/m104747_13-01-171023-azn-00004_00002_480x270.jpg""))",,,,
2017-10-23 14:15:26,1,Dongfeng Race Team,Richard Edwards,"=HYPERLINK(""https://volvooceanrace-2017-18.s3.amazonaws.com/videos/cropped/m104745_13-01-171023-dfg-bouttell-00012_HD.mp4"", IMAGE(""https://volvooceanrace-2017-18.s3.amazonaws.com/videos/cropped/thumb/m104745_13-01-171023-dfg-bouttell-00012_00002_480x270.jpg""))",,,,
2017-10-23 14:07:41,1,Sun Hung Kai/Scallywag,Jeremie Lecaudey,"=HYPERLINK(""https://volvooceanrace-2017-18.s3.amazonaws.com/videos/cropped/m104743_13-01-171023-shk-00004_HD.mp4"", IMAGE(""https://volvooceanrace-2017-18.s3.amazonaws.com/videos/cropped/thumb/m104743_13-01-171023-shk-00004_00002_480x270.jpg""))",,,,
2017-10-23 13:24:05,1,Dongfeng Race Team,Richard Edwards,"=HYPERLINK(""https://volvooceanrace-2017-18.s3.amazonaws.com/videos/cropped/m104725_13-01-171023-dfg-00005_HD.mp4"", IMAGE(""https://volvooceanrace-2017-18.s3.amazonaws.com/videos/cropped/thumb/m104725_13-01-171023-dfg-00005_00002_480x270.jpg""))",,,,
2017-10-23 12:53:39,1,Vestas 11th Hour Racing,James Blake,"=HYPERLINK(""https://volvooceanrace-2017-18.s3.amazonaws.com/videos/cropped/m104722_13-01-171023-veh-00002_HD.mp4"", IMAGE(""https://volvooceanrace-2017-18.s3.amazonaws.com/videos/cropped/thumb/m104722_13-01-171023-veh-00002_00002_480x270.jpg""))",,,,
2017-10-23 12:07:00,1,MAPFRE,Ugo Fonollá,"=HYPERLINK(""https://volvooceanrace-2017-18.s3.amazonaws.com/videos/cropped/m104704_13-01-171023-mpf-ugf-00001_HD.mp4"", IMAGE(""https://volvooceanrace-2017-18.s3.amazonaws.com/videos/cropped/thumb/m104704_13-01-171023-mpf-ugf-00001_00002_480x270.jpg""))",,,,
2017-10-23 11:42:05,Prologue,Team Brunel,Richard Edwards,"=HYPERLINK(""https://volvooceanrace-2017-18.s3.amazonaws.com/videos/cropped/m104701_13-00-171023-bnl-00003_HD.mp4"", IMAGE(""https://volvooceanrace-2017-18.s3.amazonaws.com/videos/cropped/thumb/m104701_13-00-171023-bnl-00003_00002_480x270.jpg""))",,,,
2017-10-23 10:47:36,1,team AkzoNobel,Konrad Frost,"=HYPERLINK(""https://volvooceanrace-2017-18.s3.amazonaws.com/videos/cropped/m104696_13-01-171023-azn-00003_HD.mp4"", IMAGE(""https://volvooceanrace-2017-18.s3.amazonaws.com/videos/cropped/thumb/m104696_13-01-171023-azn-00003_00002_480x270.jpg""))",,,,
2017-10-23 10:37:26,1,Sun Hung Kai/Scallywag,Jeremie Lecaudey,"=HYPERLINK(""https://volvooceanrace-2017-18.s3.amazonaws.com/videos/cropped/m104695_13-01-171023-shk-00003_HD.mp4"", IMAGE(""https://volvooceanrace-2017-18.s3.amazonaws.com/videos/cropped/thumb/m104695_13-01-171023-shk-00003_00002_480x270.jpg""))",,,,
2017-10-23 09:26:34,1,Dongfeng Race Team,Richard Edwards,"=HYPERLINK(""https://volvooceanrace-2017-18.s3.amazonaws.com/videos/cropped/m104690_13-01-171023-dfg-00002_HD.mp4"", IMAGE(""https://volvooceanrace-2017-18.s3.amazonaws.com/videos/cropped/thumb/m104690_13-01-171023-dfg-00002_00002_480x270.jpg""))",,,,
2017-10-23 09:06:22,Prologue,Team Brunel,Richard Edwards,"=HYPERLINK(""https://volvooceanrace-2017-18.s3.amazonaws.com/videos/cropped/m104689_13-00-171023-bnl-00001_HD.mp4"", IMAGE(""https://volvooceanrace-2017-18.s3.amazonaws.com/videos/cropped/thumb/m104689_13-00-171023-bnl-00001_00002_480x270.jpg""))",,,,
2017-10-23 08:48:30,1,Sun Hung Kai/Scallywag,Jeremie Lecaudey,"=HYPERLINK(""https://volvooceanrace-2017-18.s3.amazonaws.com/videos/cropped/m104683_13-01-171023-shk-00002_HD.mp4"", IMAGE(""https://volvooceanrace-2017-18.s3.amazonaws.com/videos/cropped/thumb/m104683_13-01-171023-shk-00002_00002_480x270.jpg""))",,,,
2017-10-23 07:39:25,1,Vestas 11th Hour Racing,James Blake,"=HYPERLINK(""https://volvooceanrace-2017-18.s3.amazonaws.com/videos/cropped/m104677_13-01-171023-veh-00001_HD.mp4"", IMAGE(""https://volvooceanrace-2017-18.s3.amazonaws.com/videos/cropped/thumb/m104677_13-01-171023-veh-00001_00002_480x270.jpg""))",,,,
2017-10-23 07:28:43,1,team AkzoNobel,Konrad Frost,"=HYPERLINK(""https://volvooceanrace-2017-18.s3.amazonaws.com/videos/cropped/m104676_13-01-171023-azn-00002_HD.mp4"", IMAGE(""https://volvooceanrace-2017-18.s3.amazonaws.com/videos/cropped/thumb/m104676_13-01-171023-azn-00002_00002_480x270.jpg""))",,,,
2017-10-23 06:10:40,1,Dongfeng Race Team,Richard Edwards,"=HYPERLINK(""https://volvooceanrace-2017-18.s3.amazonaws.com/videos/cropped/m104675_13-01-171023-dfg-00001_HD.mp4"", IMAGE(""https://volvooceanrace-2017-18.s3.amazonaws.com/videos/cropped/thumb/m104675_13-01-171023-dfg-00001_00002_480x270.jpg""))",,,,
2017-10-23 06:03:01,1,team AkzoNobel,Konrad Frost,"=HYPERLINK(""https://volvooceanrace-2017-18.s3.amazonaws.com/videos/cropped/m104667_13-01-171023-azn-00001_HD.mp4"", IMAGE(""https://volvooceanrace-2017-18.s3.amazonaws.com/videos/cropped/thumb/m104667_13-01-171023-azn-00001_00002_480x270.jpg""))",,,,
2017-10-22 18:53:55,1,MAPFRE,Ugo Fonollá,"=HYPERLINK(""https://volvooceanrace-2017-18.s3.amazonaws.com/videos/cropped/m104653_13-01-171022-mpf-ugf-00002_HD.mp4"", IMAGE(""https://volvooceanrace-2017-18.s3.amazonaws.com/videos/cropped/thumb/m104653_13-01-171022-mpf-ugf-00002_00002_480x270.jpg""))",,,,
2017-10-22 18:40:12,1,Sun Hung Kai/Scallywag,Jeremie Lecaudey,"=HYPERLINK(""https://volvooceanrace-2017-18.s3.amazonaws.com/videos/cropped/m104650_13-01-171022-shk-00001_HD.mp4"", IMAGE(""https://volvooceanrace-2017-18.s3.amazonaws.com/videos/cropped/thumb/m104650_13-01-171022-shk-00001_00002_480x270.jpg""))",,,,
2017-10-22 18:32:07,1,Dongfeng Race Team,Richard Edwards,"=HYPERLINK(""https://volvooceanrace-2017-18.s3.amazonaws.com/videos/cropped/m104645_13-01-171022-dfg-00002_HD.mp4"", IMAGE(""https://volvooceanrace-2017-18.s3.amazonaws.com/videos/cropped/thumb/m104645_13-01-171022-dfg-00002_00002_480x270.jpg""))",,,,
2017-10-22 18:30:18,1,Vestas 11th Hour Racing,James Blake,"=HYPERLINK(""https://volvooceanrace-2017-18.s3.amazonaws.com/videos/cropped/m104646_13-01-171022-veh-00002_HD.mp4"", IMAGE(""https://volvooceanrace-2017-18.s3.amazonaws.com/videos/cropped/thumb/m104646_13-01-171022-veh-00002_00002_480x270.jpg""))",,,,
2017-10-22 17:51:48,1,team AkzoNobel,Konrad Frost,"=HYPERLINK(""https://volvooceanrace-2017-18.s3.amazonaws.com/videos/cropped/m104639_13-01-171022-azn-00004_HD.mp4"", IMAGE(""https://volvooceanrace-2017-18.s3.amazonaws.com/videos/cropped/thumb/m104639_13-01-171022-azn-00004_00002_480x270.jpg""))",,,,
2017-10-22 17:42:41,Prologue,Team Brunel,Richard Edwards,"=HYPERLINK(""https://volvooceanrace-2017-18.s3.amazonaws.com/videos/cropped/m104638_13-00-171022-bnl-00002_HD.mp4"", IMAGE(""https://volvooceanrace-2017-18.s3.amazonaws.com/videos/cropped/thumb/m104638_13-00-171022-bnl-00002_00002_480x270.jpg""))",,,,
